"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"1","GO",3,22,97,0,0,1,NA,"NaN",NA
"2","GO",14,22,97,0,0,1,NA,"NaN",NA
"3","GO",15,22,97,0,0,1,NA,"NaN",NA
"4","GO",18,22,97,0,0,1,NA,"NaN",NA
"5","GO",27,22,97,0,0,1,NA,"NaN",NA
"6","GO",28,22,97,0,0,1,NA,"NaN",NA
"7","GO",34,0,1,22,96,1,0.044,"Inf",0
"8","GO",35,21,96,1,1,0.337,0.106,"4.570",0.219
"9","GO",36,21,96,1,1,0.337,0.106,"4.570",0.219
"10","GO",41,22,97,0,0,1,NA,"NaN",NA
"11","GO",49,22,97,0,0,1,NA,"NaN",NA
"12","GO",50,22,97,0,0,1,NA,"NaN",NA
"13","GO",53,22,95,0,2,1,-0.062,"0.000",Inf
"14","GO",60,0,1,22,96,1,0.044,"Inf",0
"15","GO",64,22,34,0,63,4.16e-09,-0.505,"0.000",Inf
"16","GO",96,22,97,0,0,1,NA,"NaN",NA
"17","GO",97,22,97,0,0,1,NA,"NaN",NA
"18","GO",98,22,97,0,0,1,NA,"NaN",NA
"19","GO",99,22,97,0,0,1,NA,"NaN",NA
"20","GO",101,22,97,0,0,1,NA,"NaN",NA
"21","GO",102,22,91,0,6,0.591,-0.11,"0.000",Inf
"22","GO",103,22,97,0,0,1,NA,"NaN",NA
"23","GO",104,22,97,0,0,1,NA,"NaN",NA
"24","GO",105,22,97,0,0,1,NA,"NaN",NA
"25","GO",107,22,97,0,0,1,NA,"NaN",NA
"26","GO",131,0,2,22,95,1,0.062,"Inf",0
"27","GO",139,1,0,21,97,0.185,-0.193,"0.000",Inf
"28","GO",148,0,1,22,96,1,0.044,"Inf",0
"29","GO",150,22,97,0,0,1,NA,"NaN",NA
"30","GO",151,0,2,22,95,1,0.062,"Inf",0
"31","GO",154,22,97,0,0,1,NA,"NaN",NA
"32","GO",155,22,97,0,0,1,NA,"NaN",NA
"33","GO",156,22,97,0,0,1,NA,"NaN",NA
"34","GO",160,22,97,0,0,1,NA,"NaN",NA
"35","GO",162,22,97,0,0,1,NA,"NaN",NA
"36","GO",166,22,97,0,0,1,NA,"NaN",NA
"37","GO",175,22,97,0,0,1,NA,"NaN",NA
